branch,stem,status,ct_out,mask_out,ct_shape,mask_shape,ct_dtype,mask_dtype,error
Segmented Scans,786ae6a1b4,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/786ae6a1b4.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/786ae6a1b4.npy,"(44, 512, 512)","(44, 512, 512)",float32,uint8,
Segmented Scans,789e986b18,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/789e986b18.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/789e986b18.npy,"(33, 512, 512)","(33, 512, 512)",float32,uint8,
Segmented Scans,78cceffcf1,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/78cceffcf1.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/78cceffcf1.npy,"(40, 512, 512)","(40, 512, 512)",float32,uint8,
Segmented Scans,78ee1e68e4,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/78ee1e68e4.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/78ee1e68e4.npy,"(32, 512, 512)","(32, 512, 512)",float32,uint8,
Segmented Scans,7904f7b2a0,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/7904f7b2a0.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/7904f7b2a0.npy,"(32, 512, 512)","(32, 512, 512)",float32,uint8,
Segmented Scans,790e50b78e,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/790e50b78e.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/790e50b78e.npy,"(32, 512, 512)","(32, 512, 512)",float32,uint8,
Segmented Scans,79ac9ae34d,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/79ac9ae34d.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/79ac9ae34d.npy,"(28, 512, 512)","(28, 512, 512)",float32,uint8,
Segmented Scans,7a2902d550,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/7a2902d550.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/7a2902d550.npy,"(39, 512, 512)","(39, 512, 512)",float32,uint8,
Segmented Scans,7a569b3064,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/7a569b3064.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/7a569b3064.npy,"(32, 512, 512)","(32, 512, 512)",float32,uint8,
Segmented Scans,7a834b9d14,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/7a834b9d14.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/7a834b9d14.npy,"(32, 512, 512)","(32, 512, 512)",float32,uint8,
Segmented Scans,7ab10e3226,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/7ab10e3226.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/7ab10e3226.npy,"(40, 512, 512)","(40, 512, 512)",float32,uint8,
Segmented Scans,7ab7d0a16f,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/7ab7d0a16f.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/7ab7d0a16f.npy,"(28, 512, 512)","(28, 512, 512)",float32,uint8,
Segmented Scans,7ab8e358b2,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/7ab8e358b2.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/7ab8e358b2.npy,"(32, 512, 512)","(32, 512, 512)",float32,uint8,
Segmented Scans,7ace18a43b,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/7ace18a43b.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/7ace18a43b.npy,"(37, 512, 512)","(37, 512, 512)",float32,uint8,
Segmented Scans,7b78d08992,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/7b78d08992.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/7b78d08992.npy,"(34, 512, 512)","(34, 512, 512)",float32,uint8,
Segmented Scans,7c004290c4,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/7c004290c4.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/7c004290c4.npy,"(32, 512, 512)","(32, 512, 512)",float32,uint8,
Segmented Scans,7c1bec680d,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/7c1bec680d.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/7c1bec680d.npy,"(28, 512, 512)","(28, 512, 512)",float32,uint8,
Segmented Scans,7c2677954c,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/7c2677954c.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/7c2677954c.npy,"(32, 512, 512)","(32, 512, 512)",float32,uint8,
Segmented Scans,7c583850dd,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/7c583850dd.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/7c583850dd.npy,"(36, 512, 512)","(36, 512, 512)",float32,uint8,
Segmented Scans,7cf787efcc,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/7cf787efcc.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/7cf787efcc.npy,"(32, 512, 512)","(32, 512, 512)",float32,uint8,
Segmented Scans,7d6a269547,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/7d6a269547.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/7d6a269547.npy,"(32, 512, 512)","(32, 512, 512)",float32,uint8,
Segmented Scans,7e7bc358af,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/7e7bc358af.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/7e7bc358af.npy,"(32, 512, 512)","(32, 512, 512)",float32,uint8,
Segmented Scans,7f78a55e0f,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/7f78a55e0f.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/7f78a55e0f.npy,"(28, 512, 512)","(28, 512, 512)",float32,uint8,
Segmented Scans,8045cc444b,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/8045cc444b.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/8045cc444b.npy,"(38, 512, 512)","(38, 512, 512)",float32,uint8,
Segmented Scans,804e20cbf7,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/804e20cbf7.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/804e20cbf7.npy,"(44, 512, 512)","(44, 512, 512)",float32,uint8,
Segmented Scans,804f11162c,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/804f11162c.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/804f11162c.npy,"(44, 512, 512)","(44, 512, 512)",float32,uint8,
Segmented Scans,808b168b62,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/808b168b62.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/808b168b62.npy,"(28, 512, 512)","(28, 512, 512)",float32,uint8,
Segmented Scans,8126dd995b,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/8126dd995b.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/8126dd995b.npy,"(30, 512, 512)","(30, 512, 512)",float32,uint8,
Segmented Scans,81d0455f5f,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/81d0455f5f.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/81d0455f5f.npy,"(31, 512, 512)","(31, 512, 512)",float32,uint8,
Segmented Scans,81e82c4785,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/81e82c4785.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/81e82c4785.npy,"(32, 512, 512)","(32, 512, 512)",float32,uint8,
Segmented Scans,829b84e941,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/829b84e941.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/829b84e941.npy,"(30, 512, 512)","(30, 512, 512)",float32,uint8,
Segmented Scans,842f2b08a0,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/842f2b08a0.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/842f2b08a0.npy,"(40, 512, 512)","(40, 512, 512)",float32,uint8,
Segmented Scans,844f1fcfbc,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/844f1fcfbc.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/844f1fcfbc.npy,"(32, 512, 512)","(32, 512, 512)",float32,uint8,
Segmented Scans,846d72ffbe,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/846d72ffbe.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/846d72ffbe.npy,"(30, 512, 512)","(30, 512, 512)",float32,uint8,
Segmented Scans,84bc22d85c,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/84bc22d85c.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/84bc22d85c.npy,"(32, 512, 512)","(32, 512, 512)",float32,uint8,
Segmented Scans,85356cb39d,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/85356cb39d.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/85356cb39d.npy,"(40, 512, 512)","(40, 512, 512)",float32,uint8,
Segmented Scans,854f0e9038,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/854f0e9038.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/854f0e9038.npy,"(38, 512, 512)","(38, 512, 512)",float32,uint8,
Segmented Scans,85765d3ca1,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/85765d3ca1.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/85765d3ca1.npy,"(34, 512, 512)","(34, 512, 512)",float32,uint8,
Segmented Scans,857ec1f14c,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/857ec1f14c.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/857ec1f14c.npy,"(36, 512, 512)","(36, 512, 512)",float32,uint8,
Segmented Scans,859d2ced68,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/859d2ced68.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/859d2ced68.npy,"(32, 512, 512)","(32, 512, 512)",float32,uint8,
Segmented Scans,85eda14d0e,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/85eda14d0e.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/85eda14d0e.npy,"(32, 512, 512)","(32, 512, 512)",float32,uint8,
Segmented Scans,8674e49234,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/8674e49234.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/8674e49234.npy,"(37, 512, 512)","(37, 512, 512)",float32,uint8,
Segmented Scans,86a381cb96,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/86a381cb96.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/86a381cb96.npy,"(31, 512, 512)","(31, 512, 512)",float32,uint8,
Segmented Scans,8750493974,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/8750493974.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/8750493974.npy,"(32, 512, 512)","(32, 512, 512)",float32,uint8,
Segmented Scans,878faba4bd,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/878faba4bd.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/878faba4bd.npy,"(30, 512, 512)","(30, 512, 512)",float32,uint8,
Segmented Scans,87c6213da6,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/87c6213da6.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/87c6213da6.npy,"(37, 512, 512)","(37, 512, 512)",float32,uint8,
Segmented Scans,881ac1f87c,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/881ac1f87c.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/881ac1f87c.npy,"(34, 512, 512)","(34, 512, 512)",float32,uint8,
Segmented Scans,88df178cf7,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/88df178cf7.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/88df178cf7.npy,"(34, 512, 512)","(34, 512, 512)",float32,uint8,
Segmented Scans,8933f992ef,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/8933f992ef.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/8933f992ef.npy,"(32, 512, 512)","(32, 512, 512)",float32,uint8,
Segmented Scans,8958cc0bc6,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/8958cc0bc6.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/8958cc0bc6.npy,"(32, 512, 512)","(32, 512, 512)",float32,uint8,
Segmented Scans,89c0c3b109,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/89c0c3b109.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/89c0c3b109.npy,"(28, 512, 512)","(28, 512, 512)",float32,uint8,
Segmented Scans,89fc855c8e,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/89fc855c8e.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/89fc855c8e.npy,"(31, 512, 512)","(31, 512, 512)",float32,uint8,
Segmented Scans,8cdbd94386,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/8cdbd94386.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/8cdbd94386.npy,"(36, 512, 512)","(36, 512, 512)",float32,uint8,
Segmented Scans,8e388643b8,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/8e388643b8.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/8e388643b8.npy,"(32, 512, 512)","(32, 512, 512)",float32,uint8,
Segmented Scans,8f2c4f3b72,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/8f2c4f3b72.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/8f2c4f3b72.npy,"(36, 512, 512)","(36, 512, 512)",float32,uint8,
Segmented Scans,901fa2058a,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/901fa2058a.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/901fa2058a.npy,"(28, 512, 512)","(28, 512, 512)",float32,uint8,
Segmented Scans,909cf011fc,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/909cf011fc.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/909cf011fc.npy,"(28, 512, 512)","(28, 512, 512)",float32,uint8,
Segmented Scans,90c717065e,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/90c717065e.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/90c717065e.npy,"(31, 512, 512)","(31, 512, 512)",float32,uint8,
Segmented Scans,9108fc72be,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/9108fc72be.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/9108fc72be.npy,"(28, 512, 512)","(28, 512, 512)",float32,uint8,
Segmented Scans,910a4dd4d6,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/910a4dd4d6.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/910a4dd4d6.npy,"(32, 512, 512)","(32, 512, 512)",float32,uint8,
Segmented Scans,91cae68878,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/91cae68878.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/91cae68878.npy,"(32, 512, 512)","(32, 512, 512)",float32,uint8,
Segmented Scans,91f2c70bd1,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/91f2c70bd1.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/91f2c70bd1.npy,"(37, 512, 512)","(37, 512, 512)",float32,uint8,
Segmented Scans,92b7e2c6f7,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/92b7e2c6f7.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/92b7e2c6f7.npy,"(37, 512, 512)","(37, 512, 512)",float32,uint8,
Segmented Scans,9306e6458e,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/9306e6458e.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/9306e6458e.npy,"(37, 512, 512)","(37, 512, 512)",float32,uint8,
Segmented Scans,938c3de17e,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/938c3de17e.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/938c3de17e.npy,"(32, 512, 512)","(32, 512, 512)",float32,uint8,
Segmented Scans,938c4efd14,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/938c4efd14.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/938c4efd14.npy,"(34, 512, 512)","(34, 512, 512)",float32,uint8,
Segmented Scans,93da09b78f,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/93da09b78f.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/93da09b78f.npy,"(32, 512, 512)","(32, 512, 512)",float32,uint8,
Segmented Scans,93dde5f0a1,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/93dde5f0a1.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/93dde5f0a1.npy,"(30, 512, 512)","(30, 512, 512)",float32,uint8,
Segmented Scans,93e5988f16,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/93e5988f16.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/93e5988f16.npy,"(30, 512, 512)","(30, 512, 512)",float32,uint8,
Segmented Scans,93f3df8132,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/93f3df8132.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/93f3df8132.npy,"(30, 512, 512)","(30, 512, 512)",float32,uint8,
Segmented Scans,947a0cb55a,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/947a0cb55a.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/947a0cb55a.npy,"(32, 512, 512)","(32, 512, 512)",float32,uint8,
Segmented Scans,9493adda69,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/9493adda69.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/9493adda69.npy,"(36, 512, 512)","(36, 512, 512)",float32,uint8,
Segmented Scans,949af16ff6,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/949af16ff6.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/949af16ff6.npy,"(32, 512, 512)","(32, 512, 512)",float32,uint8,
Segmented Scans,9527d43102,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/9527d43102.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/9527d43102.npy,"(32, 512, 512)","(32, 512, 512)",float32,uint8,
Segmented Scans,9571b76737,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/9571b76737.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/9571b76737.npy,"(32, 512, 512)","(32, 512, 512)",float32,uint8,
Segmented Scans,95ebc0d763,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/95ebc0d763.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/95ebc0d763.npy,"(31, 512, 512)","(31, 512, 512)",float32,uint8,
Segmented Scans,96606492b5,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/96606492b5.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/96606492b5.npy,"(28, 512, 512)","(28, 512, 512)",float32,uint8,
Segmented Scans,96c6a3b3a8,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/96c6a3b3a8.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/96c6a3b3a8.npy,"(32, 512, 512)","(32, 512, 512)",float32,uint8,
Segmented Scans,96d2be3adb,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/96d2be3adb.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/96d2be3adb.npy,"(36, 512, 512)","(36, 512, 512)",float32,uint8,
Segmented Scans,96dcf0473c,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/96dcf0473c.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/96dcf0473c.npy,"(28, 512, 512)","(28, 512, 512)",float32,uint8,
Segmented Scans,96e7757122,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/96e7757122.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/96e7757122.npy,"(34, 512, 512)","(34, 512, 512)",float32,uint8,
Segmented Scans,973749b7ce,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/973749b7ce.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/973749b7ce.npy,"(36, 512, 512)","(36, 512, 512)",float32,uint8,
Segmented Scans,977d91b4bb,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/977d91b4bb.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/977d91b4bb.npy,"(33, 512, 512)","(33, 512, 512)",float32,uint8,
Segmented Scans,9789ae9923,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/9789ae9923.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/9789ae9923.npy,"(32, 512, 512)","(32, 512, 512)",float32,uint8,
Segmented Scans,97fd171c61,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/97fd171c61.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/97fd171c61.npy,"(35, 512, 512)","(35, 512, 512)",float32,uint8,
